protocol,method,n_sequences,ate_rmse_mean,ate_rmse_std,ate_median_mean,rel_rot_err_mean_deg,rel_rot_err_std_deg,rel_rot_err_median_deg,rot_success_1deg_pooled,rot_success_2deg_pooled,rel_tdir_err_mean_deg,rel_tdir_err_std_deg
seg100,Ours,5,104.158,43.432,92.447,1.622,0.888,1.062,0.519,0.729,84.899,3.922
seg100,DetectorFreeSfM,5,12.305,11.370,6.887,0.908,0.934,0.402,0.893,0.964,22.293,11.304
seg100,Reloc3r,5,43.498,19.917,37.839,0.821,0.257,0.739,0.612,0.925,27.820,11.299
seg100,SIFT,5,54.805,40.639,41.219,0.966,0.409,0.512,0.768,0.899,45.270,23.471
seg100,AKAZE,5,50.570,15.565,42.977,1.240,0.883,0.615,0.705,0.846,47.775,22.598
seg100,ORB,5,47.960,13.614,37.073,1.087,0.276,0.574,0.743,0.873,46.962,19.560
full,Ours,5,134.938,25.625,122.934,2.745,1.451,1.444,0.439,0.649,80.604,6.687
full,DetectorFreeSfM,1,13.864,0.000,10.848,0.525,0.000,0.439,0.899,0.990,32.219,0.000
full,Reloc3r,5,100.332,40.220,86.872,1.086,0.338,0.804,0.605,0.917,25.922,8.880
full,SIFT,5,121.645,14.834,105.099,1.412,0.347,0.575,0.707,0.868,42.749,23.082
full,AKAZE,5,101.083,33.315,90.532,1.661,0.727,0.704,0.645,0.815,44.678,19.325
full,ORB,5,105.701,31.489,95.441,1.578,0.469,0.655,0.680,0.842,44.595,19.121
