method,n,n_gt,mean_dice,mean_iou,mean_b_f1,mean_b_prec,mean_b_rec,mean_b_chamfer,mean_b_hd,mean_b_hd95
canny,8080,8080,,,0.2694080200217493,0.16607234809809043,0.8872888095978197,34.16067675850769,184.6537757750785,146.77427492188934
dog,8080,8080,,,0.4389570979547656,0.3794361899878658,0.6280990616343816,33.92048206628107,191.67331349117921,148.43498987372558
fastsam_FastSAM-x,8080,8080,0.601667114470666,0.4601479187524953,0.6703369712242542,0.5551478253848326,0.8852194919787282,21.176762254134115,187.24127292538634,138.75089520558274
laplacian,8080,8080,,,0.4354790914219242,0.37330802386616674,0.6316819651459915,33.91122002408351,190.93331846293836,147.8674979028135
ours_th68,8080,8080,0.5611462693715636,0.40090733569369075,0.36764141484372165,0.31306205912631013,0.4814486376973532,43.460928324912445,202.8737967141784,162.3301947631458
ours_th90,8080,8080,0.06595348846126034,0.03464215068861787,0.20882786259750485,0.29341574105088275,0.17968003193501556,98.78747427089527,340.10050149483254,315.8044098391391
ours_th95,8080,8080,0.025228555670135603,0.01282754702737429,0.19943396592521642,0.3678133848237551,0.1457020664094436,91.79180204433085,340.51508371145417,312.988435101273
sobel,8080,8080,,,0.41479826180440593,0.34389048614665735,0.634571078075873,35.05280742336175,189.36707460006866,147.9130948862227
ultra_sam_sam2.1_b,8080,8080,0.4993224886865779,0.46709956223522703,0.3921092796455545,0.8419994628146539,0.34053318265284227,337.67609612192285,506.26921751183477,477.3670199536454
ultra_sam_sam2.1_l,8080,8080,0.25673640943015497,0.18958178175263823,0.4518373295209879,0.5945303215322042,0.4612610320036523,114.7300425439425,315.76391605306577,277.66806797075
yolo_yolo11m-seg,8080,8080,0.5893692892175274,0.5401472212402811,0.5069340261685432,0.8009139474335628,0.4709878288579299,198.5423636206891,343.3656633749082,320.0892978374684
yolo_yolo11s-seg,8080,8080,0.5565166115671246,0.4941839711335715,0.3949739427164605,0.7613297960845794,0.36766657041506895,290.26039566121375,432.2608769965383,412.95837103267456
